Country/Region,Italy,Iran,Korea-South,Spain,Germany,France,US,Cruise Ship,Switzerland,Brazil
22/01/2020,0,0,1,0,0,0,1,0,0,0
23/01/2020,0,0,1,0,0,0,1,0,0,0
24/01/2020,0,0,2,0,0,2,2,0,0,0
25/01/2020,0,0,2,0,0,3,2,0,0,0
26/01/2020,0,0,3,0,0,3,5,0,0,0
27/01/2020,0,0,4,0,1,3,5,0,0,0
28/01/2020,0,0,4,0,4,4,5,0,0,0
29/01/2020,0,0,4,0,4,5,5,0,0,0
30/01/2020,0,0,4,0,4,5,5,0,0,0
31/01/2020,2,0,11,0,5,5,7,0,0,0
01/02/2020,2,0,12,1,8,6,8,0,0,0
02/02/2020,2,0,15,1,10,6,8,0,0,0
03/02/2020,2,0,15,1,12,6,11,0,0,0
04/02/2020,2,0,16,1,12,6,11,0,0,0
05/02/2020,2,0,19,1,12,6,11,0,0,0
06/02/2020,2,0,23,1,12,6,11,0,0,0
07/02/2020,3,0,24,1,13,6,11,61,0,0
08/02/2020,3,0,24,1,13,11,11,61,0,0
09/02/2020,3,0,25,2,14,11,11,64,0,0
10/02/2020,3,0,27,2,14,11,11,135,0,0
11/02/2020,3,0,28,2,16,11,12,135,0,0
12/02/2020,3,0,28,2,16,11,12,175,0,0
13/02/2020,3,0,28,2,16,11,13,175,0,0
14/02/2020,3,0,28,2,16,11,13,218,0,0
15/02/2020,3,0,28,2,16,12,13,285,0,0
16/02/2020,3,0,29,2,16,12,13,355,0,0
17/02/2020,3,0,30,2,16,12,13,454,0,0
18/02/2020,3,0,31,2,16,12,13,542,0,0
19/02/2020,3,2,31,2,16,12,13,621,0,0
20/02/2020,3,5,104,2,16,12,13,634,0,0
21/02/2020,20,18,204,2,16,12,15,634,0,0
22/02/2020,62,28,433,2,16,12,15,634,0,0
23/02/2020,155,43,602,2,16,12,15,691,0,0
24/02/2020,229,61,833,2,16,12,51,691,0,0
25/02/2020,322,95,977,6,17,14,51,691,1,0
26/02/2020,453,139,1261,13,27,18,57,705,1,1
27/02/2020,655,245,1766,15,46,38,58,705,8,1
28/02/2020,888,388,2337,32,48,57,60,705,8,1
29/02/2020,1128,593,3150,45,79,100,68,705,18,2
01/03/2020,1694,978,3736,84,130,130,74,705,27,2
02/03/2020,2036,1501,4335,120,159,191,98,705,42,2
03/03/2020,2502,2336,5186,165,196,204,118,706,56,2
04/03/2020,3089,2922,5621,222,262,288,149,706,90,4
05/03/2020,3858,3513,6088,259,482,380,217,706,114,4
06/03/2020,4636,4747,6593,400,670,656,262,696,214,13
07/03/2020,5883,5823,7041,500,799,957,402,696,268,13
08/03/2020,7375,6566,7314,673,1040,1134,518,696,337,20
09/03/2020,9172,7161,7478,1073,1176,1217,583,696,374,25
10/03/2020,10149,8042,7513,1695,1457,1792,959,696,491,31
11/03/2020,12462,9000,7755,2277,1908,2290,1281,696,652,38
12/03/2020,12462,10075,7869,2277,2078,2290,1663,696,652,52
13/03/2020,17660,11364,7979,5232,3675,3678,2179,696,1139,151
14/03/2020,21157,12729,8086,6391,4585,4487,2727,696,1359,151
15/03/2020,24747,13938,8162,7798,5795,4523,3499,696,2200,162
16/03/2020,27980,14991,8236,9942,7272,6668,4632,696,2200,200
17/03/2020,31506,16169,8320,11748,9257,7699,6421,696,2700,321
18/03/2020,35713,17361,8413,13910,12327,9105,7783,712,3028,372
